video_id,comment_id,author,text,like_count,published_at
HAZbN8RD_wQ,UgyWu6JDao9IMhgSOJJ4AaABAg,@yangjunhyuk10,ㅋㅋㅋ 강민이 연기해도 되겠네ㅎㅎㅎ,1583,2021-07-06T00:38:36Z
HAZbN8RD_wQ,Ugxsi66Bhgqx22lS1t54AaABAg,@김민수-b1f7i,"ㅋㅋㅋ어쩐지 역시 양쪽이야기다들어봐야함.ㅋㅋ
화이바 벗을때까지 기다렸다치는건 선넘었지ㅋㅋㅋ",1,2024-10-15T01:07:09Z
HAZbN8RD_wQ,Ugz5YpwMvyajNq5ARlB4AaABAg,@Link링크,김성현 왤케 대학 교수님같지 ㅋㅋㅋㅋ,1,2024-10-10T13:33:08Z
HAZbN8RD_wQ,Ugz0403BOR3K6404Cx14AaABAg,@정승훈-w6l,형 문학으로 돌아와......문학에서 은퇴식해야지..,1,2024-09-29T13:34:40Z
HAZbN8RD_wQ,UgwVY1e7Pzi94lBg8eV4AaABAg,@피식-p4g,랜더스김강민 보고싶다ㅠㅠㅠ😂 진짜 존경합니다,1,2024-08-17T14:08:13Z
HAZbN8RD_wQ,Ugw7A0312KZHts0DoVh4AaABAg,@morismade574,철구인줄,0,2024-08-15T22:36:23Z
HAZbN8RD_wQ,UgyE1GbsND_8RQJwU0d4AaABAg,@허정욱-q7n,재밌는팀이다 ㅋㅋㅋ,0,2024-07-10T04:26:32Z
HAZbN8RD_wQ,Ugy9AmcDfiq-8kmTZHF4AaABAg,@ZeNith0306,조병현 조요한 다 잘해보자...  지금 술먹고 다시보니 좋으네 ㅠㅠ,0,2024-07-03T13:57:51Z
HAZbN8RD_wQ,UgwakQfoFk9OBVNuK_d4AaABAg,@captaintsubasa472,때린것도 아니넼ㅋㅋ,0,2024-06-24T08:00:57Z
HAZbN8RD_wQ,UgzDOvVbFj8l4ac2ecV4AaABAg,@LessButBetter-,한화팬인데 김강민 사용설명서 수집중입니다~ 잘 숙지하고 갑니다~🙏,0,2024-06-20T01:09:43Z
HAZbN8RD_wQ,UgxpvnzfpLX4eAIn3UF4AaABAg,@wmmmmm0,4:06 미쳤나봐 개귀여워,0,2024-06-14T09:31:23Z
HAZbN8RD_wQ,UgzQfGJQW8Uuqil-aoZ4AaABAg,@이현재-t7v,모발이식 핺나보네,0,2024-06-14T07:54:31Z
HAZbN8RD_wQ,UgzF0IoIrDvg6g-ZgCh4AaABAg,@밥먹고해라-r7q,미래엔 정의윤 용진이형이 버리고 강민이도 팽당해서 한화가서 마지막 한해를 보내는 씁쓸한 상황,1,2024-06-12T11:15:49Z
HAZbN8RD_wQ,UgzBCsnNxYK3aII_1EJ4AaABAg,@YEJUNWIFE912,김강민 다시 돌아와아ㅏㅏㅏ,5,2024-06-12T07:13:38Z
HAZbN8RD_wQ,UgxHvGKfCT48gLyp2Qd4AaABAg,@Only너만을,ㅋㅋㅋㅋㅋㅋㅋㅋ겁은 정의윤이 먹엇음,2,2024-06-09T02:54:25Z
HAZbN8RD_wQ,UgyVemrlxMXhohxjJdN4AaABAg,@gtxktx2153,진짜 이건 몇십 번을 본건데도 웃겨 디지겠다 ㅋㅋㅋㅋㅋㅋ 개빡쳐서 이걸 죽일까 살릴까 하다가 카메라가 혹시 날 보나 싶어 잠깐 봤다가 ... 또 그걸 본 정의윤의 아 ㅅㅂ ㅈ됐다 경악하는 장면까지  ㅋㅋㅋㅋㅋ 킬포가 몇개냐,2,2024-06-03T16:10:18Z
HAZbN8RD_wQ,UgwreSw6z3RQM_GP1G94AaABAg,@창녕조-o1d,강민이형 ㅜㅜ 행복하게 야구하셨음 좋겠어요 화이팅입니다!,0,2024-05-20T01:16:29Z
HAZbN8RD_wQ,UgyTgZIp8YLpDIlSR4x4AaABAg,@surrealism8523,김성근 감독 토크보구 왔는데 이영상이 뜨네 ㅋㅋㅋ그당시때 김강민은 선수도 아니었다하는데 ㅋㅋㅋ,1,2024-05-13T10:45:55Z
HAZbN8RD_wQ,Ugx3TpfWw-tudKaFgqd4AaABAg,@띱띱빵빵,이제는 추억.. 랜더스에 강민형님 없어...,3,2024-04-10T17:27:35Z
HAZbN8RD_wQ,Ugy6P5eylq7ZNFxxlo54AaABAg,@그랜드타임스퀘어,또 봐도 재밌다ㅋㅋㅋㅋㅋㅋ,4,2024-04-03T16:20:17Z
HAZbN8RD_wQ,UgwMRq4TkPpD0r3BME94AaABAg,@Nitpedorra,"김강민 눈빛 보고 1차
정의윤 반응 보고 2차

대소변 지렸다 나였으면 ㅋㅋㅋ",1,2024-04-02T02:44:42Z
HAZbN8RD_wQ,UgwC8t9d9PtkMvRWOe14AaABAg,@2020hoon,다시 올거야 이런날....ㅠ,0,2024-02-20T03:18:39Z
HAZbN8RD_wQ,UgxqQsOUB-g6rGuBcpl4AaABAg,@nautilusanchor1831,한화에가서 하주석좀 많이 혼내주세요.,2,2024-02-10T02:32:38Z
HAZbN8RD_wQ,UgyQixHVrXm_zWYhcmx4AaABAg,@Shshs-i7d,아직도 보러옴 한화김강민…,21,2024-01-19T10:49:16Z
