playlist_id,playlist_title,published_at,item_count,video_ids,playlist_label
PL8_8tSGm7y1ASguY90xOz4mKhCVp_-b0s,2025 랜필 에피소드,2025-03-26T12:56:14.141814Z,4,"eBObfPdWcAU, usNfPy6l4XE, XO0yAquSvL0, sgvH9q1ik10",playlist_1
PL8_8tSGm7y1Anpgk0vKY5vT9QbIbWk6qX,2025 승리의 하이라이트,2025-03-08T09:09:20.114229Z,27,"l2_O4Nb4JDk, J_B4oTeBwfU, CpwLWzMg3GQ, qA5Uf_p1O78, 2R0Ql_IEhHg, jUmytdg6ixs, xs0BT_hYHWM, wYgbqCTFuiA, kkKJLdE2mr0, 6OYSh1kIQ0w, HffGn0Yr6OI, SjI5l7GGyEQ, 5WNNZmlfdMw, Cc2SlUK1mS4, 34S9ucTEzQ8, qnzFIOyUPXg, ngiJ6kVkcqI, oV8SORuVbqk, VctLua8rwG0, dE0176tbXag, ItcYOPAc8uM, 6k2mOa9SGsg, 2vw1Z1DeEU8, vG8sQJiMXfk, z_zHFo69yXI, imJKEgU46Fg",playlist_2
PL8_8tSGm7y1CAjHs4S-LTPK8GtXblSTJD,2025 스프링캠프,2025-01-24T22:18:26.470815Z,85,"1uECOnbH1wE, 1qaayj4cRSQ, p0KblYTnKos, Ar2tfk3Dogk, ENNNyIJjPKI, fPE8-3R_pXs, YXv8XnwVf3E, 82SJTPy5I7M, re7QECfq4mk, 5S8l4HipxBQ, Uh0bLVDE0xk, hQnlVsQbyuI, 3Nt5C8Ymd20, ioBJr2ypa1U, fewSl4LhL50, rCV9aFIOLmE, WRuriBbaxek, P3SqirJqvDw, -zqZitg8TtY, NsmYOf7K1aU, i3dmV_7wOZc, qQIq7Ni5jyE, iR9u2Y6jP84, 33gb4pjhSx4, 1SitRmrv_uA, A3aRyz6P-S4, 1kNkiywTP_M, REw8xwsC51M, X-PHOseybhE, 2H4lzceJ6PY, HAd4G4aQsho, 89royhN7b6s, jDsbunIpfo4, 7LpwJkCuxao, tdRE09ktyNw, ksTRFLeihVY, WszpyWseRko, 6gVJw9CsYD4, 4oRVQG8WEJc, MQ7Ktlp5dfk, -qcyQRlGAhU, 2sdJuXltKLE, x2-83v1TddM, pCIEUsPznXg, Enxt4h_f7k0, KxSvv6LbW90, FJYizBDe778, uIiZXD7nHqc, uwnAJY31K88, KGl9x1OsjiY, bqG8ShHKP_k, z_CyBRLnKAM, -i0UV69CgBY, 0j1HdT5jpP0, Nd2rlyVHT6Y, Oz3Rl74IDaA, 5raFJw9O_Ms, 9cWeadcE7iI, ByLImKDhK_c, yZFJ8VVRcRc, RSYY7aJFwws, HzoqtIwYlwg, LAcXTVSA_dU, wZF522d2om0, scZ4bgP1b1M, i8Q9LeRjkhw, Y3wPLlQpWrU, Xi5-dPbawCY, ItKM7yAaPnc, PI_Akdm07yU, ceG61nJrPVE, p3jxVHYFNY0, pK4LHlzVuq4, gYOJ8CRO_3s, PhrJUkk-uWI, iSG6PPOvVN4, N1sGlpmq_U4, R6LhOGAoG2Y, 01hjuumkrmc, jrBZkldoER8, YtbdhyMCLMA, xYAU2qfzJ3Q, gz-rYNwQ3Ak, QYTovBNdDx8",playlist_3
PL8_8tSGm7y1AK_ZmMRPSR9qG-Dx9XmecJ,24-25 랜더스 OFF-SEASON,2024-10-23T02:59:56.234409Z,32,"z8HBd7Ujkek, Hhyt4e3vMNg, Nn8MHuml-mk, 99jhaS6Tb48, 0AV2Kj2HMto, -yuxqn8HRK0, qfPgGZrmlEU, jpNX6nrKanA, MhQNbAjg9BA, AMjcwtdpsBI, zGflinSyR8M, Y1AbH63-3t4, shNmzb8t6nQ, 9lD_HU_h2Sw, AKfSyfT1uwM, aKY0QNYftAY, t27yF9EylJg, VxveiC1M1Vw, 9ldlrXMf3zo, LI1sfCC49HU, 1Qg6EUnteXY, DfXId927Q6U, 25Ir7tclw0Q, SZs-wgZua0Q, 2IUMhOfQ_xk, pS-TZvA0FhU, RaOpm3ExEI8, 6EDahJiKTxA, EEj5GDufAs4, lvAe3g-Ebf4, kNTHsEhWT4Q, DSmVper17NA",playlist_4
PL8_8tSGm7y1DW5kee6OVsHJq_F-QhtN1o,2024 투수조 야구 게임🔥,2024-10-23T01:54:24.010995Z,4,"KYf4iu1tp6g, 6EDahJiKTxA, wmt0Hd2KiMk, kNTHsEhWT4Q",playlist_5
PL8_8tSGm7y1AeNV-LsTgImSvbEscF9RTO,LEGENDARY 468,2024-04-25T11:04:19.145411Z,25,"-6UXbF82h7c, 1JOh4ubsAUE, 4BrLnLAvWwM, 6dDhMDN7prw, W7RZCn3NWJw, _uZn0ivchQc, lTg1z6WjcKQ, swAzLF9zN7I, u6NdU019Kaw, 5GN2WJJap1k, 6Ybp9Y3vEcs, GSIfN7kHOmw, aHP3ixY27Gs, cKeSrzctZYk, hx_Sj8ccbT4, jsDGx_KK9E8, ofRuLe5Bbck, TZC7zrqWdc0, qk5iswzKWNY, zCsx35JsjHs, po1_jiKigJ4, 4ap-DL2Keqc, pKSZa34egHE, 0HQFHpgqQMg, SZs-wgZua0Q",playlist_6
PL8_8tSGm7y1DqAetOonJHE2g2OoJxs-TW,조병현 하이라이트,2024-04-10T02:02:08.381168Z,6,"FFjW7yVrZYE, YGR98EnvTig, n8OZDbHFrvw, 6s2dHcOkPZQ, 8UfXkMfVcws, 88NJXEYg0oU",playlist_7
PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,2024-03-11T07:13:03.883068Z,77,"z5lYpa7e-aI, YgdcmL3wlvM, sf20OMGCI50, 3lBrMnPafsE, fLwgGgZiw0g, JfBZ1eH9VVU, LDXjrQUUFr4, tuMlx2YyyUw, Zxyl50e9qec, l_d96YYq6y0, k8c1ZfcFwB4, r2k_opX-gUE, 8lSXSRhgl4Y, n6w50J38hro, LT9_laxHTKc, 4ofeLkPRs68, lN5n0X-j0RQ, FjUobEic-C4, PYvV5sVUq-k, 1JOh4ubsAUE, f70_NtzC5UA, jCTy09wJd9s, 8wGjJrj8TiY, J-rtJDmwSiM, AGTelRM6m2M, iHI0TOIM-NM, 6fwIrWIrUF8, BxAW1PpAs_k, 1XsLihDCe_8, xv0WwZ1o1DA, 5058JNsTN6k, I8pBCNc7qoA, j8dD3ukxDRY, kVGWYPm-Jw4, 3qKdXaE6Aqo, CrP0J-KiAnw, O4q6fEeE8CU, plMdJHiDPyU, PN_ebv26Vq8, D8qixjJd9Po, 1mUhJZRG2g8, pl21qjkVzjg, bxkrvDpS5iQ, TOflvBAKJ5k, s4INWx-JI4A, Km5bBHq7Bck, i-uhJcXDl9M, iOJruasx4Zk, l-x7kjRzSnY, a8K1rcH8Sao, 4Lt0bjRh2_I, ned3y5UfW6U, W4AxsE1-5dA, EGn3ELqC0gc, 3nd9laW9c5Y, 60HKf7R95cQ, RwSoNxKHmz0, Y7YKY_G226g, oTGhge0-4WY, mwqMoWodbNU, GCZAr7xkgHk, iUXgXuSUT3o, 59ZZwaId8Ys, qO1VNWAhh3s, 9UaJ6A-OEWg, ZQKwKTngrI4, amQkZe1U8jg, zRoZN_ngx8A, J30N3OmthW8, D2Amnaxl8mU, dlVRTDWihVQ, NvsaeK_LHhA, BCWaJKYTdV8, 9aG5aS3nmS0, uLFEmetmslE, fS6hTgWPsFQ, 5LhJHaTQrk4",playlist_8
PL8_8tSGm7y1D4cgMXe1FHcQJGRU2sYQcw,2024 스프링캠프,2024-02-06T08:05:17.906982Z,87,"fJSLQXYpULM, YqpNoGB0ioo, tsqjb0wJo-4, rqkXniNvDrQ, 6TGko51-NjU, -KwpYuVoIAg, T68y_vtDAYA, -rDkFPrym90, 8uhNv3IQRkQ, Oj-3A-c1zR4, tKBUMXP5Ilw, CNfIh2zRXJY, GUoYZShupuo, ceGR051kYJM, OSKw3uhk7DM, G5yOMdidnSU, og1RYF5gm9g, 6LBKvLpjV-I, 6RWPWRn-yfc, YvVy4GjZKsY, xO0T-8Z7bpY, oFdU7wPjghU, PrcGuYexZ-w, 4zDHJ-gIDUM, yuSNrqnjPO0, EOGPrYWFn8M, TF8uUPhZ_AQ, GD72y3-eYqo, uKAxGX4R_fQ, K4hjeRvZ7h0, WZGph1NMuLs, vFlxlepknSg, 0TDLbJyeIEM, 1IGwaFF_j0c, 2nEC4nl2CUs, 3I7x4DB3EJc, 4DzGwSMi8_0, 6KvbeaOOQUw, 6LBKvLpjV-I, 7SBc4RFgcak, CNfIh2zRXJY, FGKJwwzFoJg, G5yOMdidnSU, PrcGuYexZ-w, T68y_vtDAYA, YvVy4GjZKsY, ZBW8ZsTQ_aw, ZXAkQzECOY0, g2jMEvKj6N4, oFdU7wPjghU, og1RYF5gm9g, pTgDJ6bRSQk, tKBUMXP5Ilw, tsqjb0wJo-4, vFlxlepknSg, Kf_TUUMKdLo, dKOy9dITh4A, XZO51mCo5X8, SsfCPPXTTww, b2SnzK8tcQo, GSWrZF-H3QA, LElQLeSJoAA, 2YRYjOx0Do8, qR3VGlo7Wlo, swh83wlHOjs, MTflRQ5ohxw, j5RN5qDqR9A, JNaWYT9yBQ0, 37vzNrVDu5E, uLTU2lJvXDo, l-jwxt4XkmI, l3HKHTYkPX4, C3bTnGHj-xI, Jqs-rGuobso, B9TfwtR7TQ0, arFTjq1hzbI, o7P8P3lIgUA, CPAk7sfgGW4, lH-ysbdr7XA, hcUty9fYtjY, GrIP6jFjC00, ng924bDPtPQ, 6hIEImPnsXU, rvHKg0phDEA, Ne3jTvAK_2E, xk7QBUQ4C_w, yRFhg3E_A-w",playlist_9
PL8_8tSGm7y1BFBaRS8wDu-WgTADcLYmVJ,2024 랜필 에피소드,2024-01-15T09:03:03.006801Z,220,"6EDahJiKTxA, EEj5GDufAs4, lvAe3g-Ebf4, ytyy62GJ-_s, kNTHsEhWT4Q, DSmVper17NA, uLruvxczeGo, petO0nhCM_w, 20Ti9TUC5s4, di6YTaEhw6k, 1kDZiugKO_o, 7oo_X69B0TA, FloD5d8sJDg, bsMIK1knNzI, Dqz_907T85A, llii_PqZpjo, Z3W-TIBumKY, 0HOkAcys7nM, pc3k9ou0ag4, 2NJKQ9EVdNY, b5DXW1GQ--U, lR-58537pos, DJXEsxltUjA, ysqhN4Jwi_o, Ev52W1wkxBs, ckVC_u19-dY, outTbgUNcA4, iAz8kuYRAgU, BB79ZFn2lzM, W7lCdMSewAM, uRSj72zsNZE, YDayd4EWUXc, KtO5b-t_DKk, eTWhnkXKRnA, Cp1Fx2E6FOY, USWDyn58YjE, cFz7MyaQ9pM, x2gDKjG893M, 49TXS6ePr_k, 8y6ZJgwRxK0, LqT-EBDEros, M4E1srFC0wg, 4q3I6WZcZM4, 20m0O04TJ_s, 6GUJwweDJ2U, G_OrcYR1T2c, UU5eaD2FRo4, Vcn1UsbGITQ, FJpDMKuy38Q, Nlyo3q0DdGg, AE0WbkMQ6-c, x_uYPG-9qH0, Ctac3Z2mDsU, 7rkxiozDhlM, oRvF6c9Bq3g, 4-YsL339IJc, 16fF7qoUKSQ, AZ0ESAYlhfc, Do5T3iGRO20, Wqpy8UixWZw, JAMn-7dkdQg, UCCQax656ew, Je2MgvqHBXw, BXFUkyb3aEA, 0IEnx_-47lE, qjX5svY7W0E, GjUqyv0f-J8, vHcEVx41RcY, 4J4Gs4I94Js, 7Ll6e4ME6aI, cjDDPJfgX_E, k0irBDG2X1M, Z2TEIlnyI-Q, 0VprDluI_gQ, aEzRZEyyrfQ, Df_Ml2NebfQ, XoeY92rKrnE, sjdjVJU341w, NR8bsg11OJ8, VgdTNpmcU6M, S-YyikNC1GE, 3Jq-I_7YgAI, WYZNq4pd_6k, VwVlaSSWMPY, urihRWpbycM, KIza8RWU5eQ, VfzAWBpxVDA, N5KjNGvdh9I, CypJLmis898, pt4J5BHxYP4, hc3hWJs3_FA, ZzkCd5bDZU0, k3K2yiRvPts, bFYBMYzrZSI, UQH7-6wX1K0, OswByZqyRKw, 73wFxQyttgc, RrP-65IDmq8, 6XQU05AsW5s, d6Kvhwed5fk, 0HQFHpgqQMg, NbnTQm00m1c, pKSZa34egHE, 4ap-DL2Keqc, po1_jiKigJ4, 4Ds7BviOeF0, eCeiGlY4Pww, UYz-WAE1czk, 4e5UYiVoMyQ, UfrjGzGN1tI, ZVnitbQfZzc, 4MXq5yWOMc8, LLduA8Ufbac, 9UsoooSo1qM, qqPEwjZeguY, zCsx35JsjHs, jXySCGWxuD4, qk5iswzKWNY, bfHRyMoqLvM, rjdL_RNpJeg, YC8WE7_2bf8, WpVc7Mry8C0, A1n12t2RonM, jCTy09wJd9s, TZC7zrqWdc0, kbTiWaYr3KI, 8sc8vrdIfiE, _uZn0ivchQc, 6dDhMDN7prw, u6NdU019Kaw, 4BrLnLAvWwM, lTg1z6WjcKQ, W7RZCn3NWJw, aHP3ixY27Gs, ofRuLe5Bbck, 6s2dHcOkPZQ, zvpi8mAM0lY, q91Ic3W6ANE, 9cYgLComlDI, Sf3AUSXgHws, W0G7DadJjkg, sEwvc4_RBSY, kVXtPlMPSOc, Up3eoyCtqk0, 7z8pwaL4Y48, R21lnVLZngw, aT3hjoPNU8M, qGzVr_RISgo, lN5n0X-j0RQ, Xp59VGaAAB0, EA8QRbbO6Ic, ZZmW0-UKD2k, cG_wVvyhNto, 36JAUKNTHD8, ySymCJeObRU, ITOLShJx7Uw, kBrB3PUW824, s5yyY6nhGKI, 6T0yeAIcUv8, zKnPMw5Voio, MLLsNqX7kYk, 7ukKowrvFBo, xyVAQw9Z1wA, zGs3QaFT7Bc, YGR98EnvTig, 5S8QmY7STaI, t9rDUS-noNk, 0dYtzgKw9KE, NdHUoW1Nlmc, nArfgFLf-V8, mLk0Jxy0KsM, ZmUmYTtJIN0, JEzpi46qaUg, KNygFPp0vVM, _DyUev1pT6I, sJUbYJ89o6w, 4_JoBbbo_N4, 0t9e14y33PQ, n6JeLCdZZgM, Aq7VmNYWrSs, It4KMVKbZBk, 7LJIXet7WQU, uRZ6vM9QrFA, JfBZ1eH9VVU, fLwgGgZiw0g, 3lBrMnPafsE, Q6iL_rvPRss, uOiNXL3qul4, Afj-Fh0gu4E, rl7a5GHxefQ, FXri35rgMpU, 0PU-Af5I-Og, 2SW9OmsjhDE, NKjVRRNAd0w, zJZgjIHhUWI, OJpjRyKTCJg, IYk-XKhsCpI, BvkpzVZchYs, nJt0kbjN65A, xk7QBUQ4C_w, -0CSEdyRTK4, _f105sWAz7U, kJFZHMz4_6I, ffmenjh7QgE, Bj8OMyHEknE, 8fWKfP9GXQs, FCstmGk4Gpo, jsV8CPiw8NI, J8f67pSE4is, Fttblq6zX50, gkf7zYth9F4, HbqmBm7byNY, s4J6pWNlglA, s7xyWMkqXyQ, 37wRsKXlWG4, 3N3Uvah79vY, kKtCexqW0KA, DzdKj9eDZQk",playlist_10
