word,count
선수,221
김강민,107
추신수,90
튜브,69
한국,68
김성현,54
홈런,51
야구,50
귀여워,50
재미,49
SSG,46
사람,45
보인다,44
영상,40
최정,39
분위기,38
경기,37
표정,33
때려,32
발음,32
한국인,32
영어,32
웃기,32
선배,30
시즌,30
레전드,30
카메라,29
박성한,28
한국어,26
짐승,26
머리,25
꼰대,25
정의윤,24
사랑,23
투수,22
최고,22
눈싸움,21
생각,20
랜더스,19
루타,19
외국인,18
은퇴,18
정도,17
응원,17
구독,17
박지환,17
서진용,16
문학,16
시작,16
코치,15
최지훈,15
에레디아,14
후배,14
화이팅,14
인터뷰,14
얼굴,14
웃겨,14
상수,14
모습,13
감독,13
상황,13
멋져요,12
인기,12
이유,12
야구장,12
인정,12
김상수,12
구단,12
최주환,12
타자,12
감사,12
컨텐츠,11
한화,11
그리워,11
기대,11
신수,11
아저씨,11
양의지,10
매니저,10
캐나다,10
기분,10
이번,10
안타,10
SK,10
헬멧,10
질문,10
동영상,10
넘어가,10
아웃,10
유튜브,10
트레인,10
성격,10
순간,9
노래,9
성적,9
하루,9
리그,9
대박,9
용병,9
실력,9
이름,9
글러브,9
적응,9
선후배,9
요즘,9
만들,9
롯데,9
말투,9
심판,9
시범,9
정규,8
잔소리,8
단어,8
아이,8
타격,8
치트키,8
날려,8
마지막,8
기다려,8
올해,8
모르,8
목소리,8
회수,8
미국,8
훈련,8
출신,7
부담감,7
준비,7
행복,7
미쳤다,7
문화,7
플레이,7
실시간,7
예전,7
수비,7
스타일,7
생활,7
올리,7
어린이,7
지나가,7
KBO,7
본인,7
불펜,7
가슴,6
급상승,6
친화력,6
웃겼,6
구경,6
브금,6
시절,6
신인,6
한국식,6
영입,6
메이저,6
생각나,6
호감,6
프로,6
우승,6
제구,6
임창정,6
스윙,6
세상,6
폰트,6
판정,6
부럽,6
올려,6
추맥,6
던지,6
HOW,6
남자,6
구독자,6
아쉬웠,6
구장,6
다음,6
이야기,6
눈빛,6
키움,6
완전,6
뒤통수,6
국내,6
이승엽,6
느낌,6
와이번스,6
인천,6
오늘,5
알고리즘,5
