"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 수정구 수진동","3***","단독","8m미만","121.29","65.50","202504","30","70,000","개인","개인","1989","성남대로1210번길","-","중개거래","경기 성남시 수정구"
"2","경상남도 통영시 문화동","4*","단독","8m미만","174.48","258.00","202504","30","9,000","개인","개인","1974","간창골2길","-","직거래","-"
"3","전북특별자치도 익산시 영등동","2**","다가구","8m미만","367.88","209.00","202504","30","62,500","개인","개인","2014","고봉로5길","-","중개거래","전북 익산시"
"4","경상남도 거제시 둔덕면 거림리","9**","단독","8m미만","61.00","251.00","202504","30","7,500","개인","개인","1977","거림3길","-","중개거래","경남 거제시"
"5","경기도 군포시 금정동","7**","다가구","8m미만","243.22","154.30","202504","30","72,500","개인","개인","1991","금정로45번길","-","중개거래","경기 군포시"
"6","경기도 동두천시 생연동","6**","단독","8m미만","45.19","106.00","202504","30","6,000","개인","개인","1963","중앙로227번길","-","직거래","-"
"7","인천광역시 동구 만석동","6*","단독","12m미만","92.00","53.90","202504","30","14,000","개인","개인","","제물량로","-","직거래","-"
"8","경기도 안산시 단원구 대부남동","1**","단독","8m미만","165.90","637.00","202504","30","55,914","개인","개인","2016","중부흥길","-","중개거래","경기 안산시 단원구"
"9","대구광역시 남구 대명동","6**","단독","8m미만","37.02","164.60","202504","30","15,300","개인","개인","1999","앞산순환로75길","-","중개거래","대구 수성구"
"10","경상남도 진주시 명석면 계원리","4**","단독","8m미만","84.97","300.00","202504","30","20,000","개인","개인","2016","관덕길","-","중개거래","경남 진주시"
"11","서울특별시 용산구 신창동","*","단독","8m미만","37.47","91.90","202504","30","181,277","법인","개인","1942","효창원로26가길","-","중개거래","서울 용산구"
"12","서울특별시 용산구 신창동","*","단독","8m미만","37.47","91.90","202504","30","181,277","법인","개인","1942","효창원로26가길","-","중개거래","서울 용산구"
"13","부산광역시 금정구 부곡동","5**","단독","8m미만","168.48","261.00","202504","30","57,500","개인","개인","1985","동부곡로42번길","-","중개거래","부산 금정구"
"14","광주광역시 서구 쌍촌동","3**","단독","8m미만","142.96","166.00","202504","30","19,000","개인","개인","1987","월드컵4강로197번길","-","직거래","-"
"15","경기도 안산시 단원구 선부동","1***","단독","25m미만","433.50","198.80","202504","30","57,000","개인","개인","1994","화정천서로","-","중개거래","경기 수원시 권선구"
"16","충청북도 청주시 서원구 산남동","8**","다가구","12m미만","398.42","241.50","202504","30","59,500","개인","개인","2011","두꺼비로34번길","-","중개거래","충북 청주시 서원구"
"17","강원특별자치도 양양군 현남면 남애리","*","다가구","8m미만","266.97","269.00","202504","30","145,000","개인","개인","2005","안남애길","-","직거래","-"
"18","경기도 안산시 단원구 선부동","9**","다가구","8m미만","401.44","225.80","202504","30","67,000","법인","개인","1989","지곡로6길","-","중개거래","경기 안산시 단원구, 경기 안산시 상록구"
"19","서울특별시 노원구 공릉동","6**","다가구","25m미만","197.46","141.50","202504","30","78,000","개인","개인","1992","섬밭로","-","중개거래","서울 노원구"
"20","강원특별자치도 강릉시 송정동","2**","단독","8m미만","130.10","326.00","202504","30","59,800","개인","개인","2023","송정길33번길","-","중개거래","강원 강릉시"
"21","전북특별자치도 정읍시 고부면 백운리","4**","단독","8m미만","77.91","716.00","202504","30","9,800","개인","개인","2012","운용길","-","중개거래","전북 부안군"
"22","경기도 양평군 개군면 불곡리","2**","단독","8m미만","173.14","628.00","202504","30","10,000","개인","개인","1996","대가울길","-","직거래","-"
