"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-01-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","강원특별자치도 철원군 동송읍 이평리","848-59","0848","0059","우성빌라(A동)","48.0000","32.3333","202401","31","2,500","4","개인","개인","1993","이평로101번길 13","-","직거래","-","24.02.01"
"2","전라남도 목포시 산정동","266-5","0266","0005","가온누리빌","69.1700","89.1250","202401","31","12,500","5","개인","법인","2015","원호길5번길 20","-","직거래","-","24.02.05"
"3","충청남도 서산시 지곡면 화천리","804-3","0804","0003","현대(804-3)","65.7600","57.1100","202401","31","3,300","1","개인","개인","1992","왕산이로 12","-","직거래","-","24.01.31"
"4","충청남도 공주시 유구읍 석남리","216-3","0216","0003","두원빌라가동","78.2500","95.0000","202401","31","3,700","1","개인","개인","1992","마을안길 24","-","직거래","-","24.02.01"
"5","경기도 용인시 처인구 마평동","572-1","0572","0001","미래아트빌A동","58.3800","33.1200","202401","31","10,000","2","개인","개인","2003","동부로 45","-","직거래","-","24.02.02"
"6","경기도 남양주시 진접읍 부평리","605-3","0605","0003","목화하이츠","62.1000","49.9000","202401","31","10,500","4","개인","개인","1997","광릉내로 26-13","-","중개거래","경기 남양주시","24.02.01"
"7","경기도 남양주시 진접읍 내각리","765-18","0765","0018","한성아트홈나동","69.1200","50.4800","202401","31","13,000","1","개인","개인","2000","내각2로32번길 17-1","-","중개거래","경기 남양주시","24.02.01"
"8","경기도 고양시 일산서구 일산동","1860","1860","0000","동원다세대(나동)","36.6500","21.1200","202401","31","6,650","2","개인","개인","1990","고봉로329번길 28-14","-","중개거래","경기 고양일산서구","24.02.05"
"9","경기도 고양시 덕양구 관산동","248-16","0248","0016","세인주택2동","36.4000","27.2500","202401","31","7,000","3","개인","개인","1990","통일로799번길 42-2","-","중개거래","경기 고양덕양구","24.02.02"
"10","경기도 평택시 진위면 하북리","94-8","0094","0008","새꽃동산","50.5800","72.1250","202401","31","10,000","3","개인","개인","1984","하북4길 129-14","-","직거래","-","24.02.02"
"11","경기도 평택시 신장동","322-4","0322","0004","삼보데파트","55.4400","15.9600","202401","31","5,000","4","개인","개인","1984","중앙시장로 26","-","직거래","-","24.01.31"
"12","경기도 평택시 통복동","159-19","0159","0019","정일빌라","79.8000","57.5000","202401","31","6,000","2","개인","개인","1990","원평로83번길 2-4","-","중개거래","부산 동구","24.02.01"
"13","경기도 부천시 원미구 역곡동","70-6","0070","0006","시티드림빌","36.5800","22.0000","202401","31","12,800","4","개인","개인","2001","지봉로83번길 13","-","중개거래","경기 부천원미구","24.02.01"
