"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 송파구 방이동","160-16","0160","0016","한성빌라","전세","44.3400","202504","30","19,700","0","2","1989","가락로40길 1","202506~202706","신규","-","","","연립다세대"
"2","인천광역시 남동구 구월동","1303-43","1303","0043","성진빌라(3동)","전세","58.4700","202504","30","8,760","0","4","1996","구월말로39번길 9","202506~202706","갱신","사용","11,400","0","연립다세대"
"3","부산광역시 동래구 사직동","855-2","0855","0002","후하우스","월세","12.8400","202504","30","500","34","5","2011","아시아드대로161번길 21","202505~202605","신규","-","","","연립다세대"
"4","인천광역시 연수구 청학동","520-3","0520","0003","전원빌리지(520-3)","월세","38.2800","202504","30","500","58","3","1993","청학안로 17","202505~202705","신규","-","","","연립다세대"
"5","인천광역시 연수구 청학동","564-2","0564","0002","상상카운티","전세","48.9600","202504","30","10,100","0","4","2011","비류대로278번길 18-13","202506~202706","신규","-","","","연립다세대"
"6","서울특별시 중랑구 망우동","178-1","0178","0001","염광(1,2,3,4동)","전세","75.5300","202504","30","13,000","0","1","1983","망우로81길 27","202504~202704","신규","-","","","연립다세대"
"7","인천광역시 미추홀구 주안동","631-6","0631","0006","청도벨리","전세","35.9400","202504","30","5,600","0","3","2002","한나루로563번길 14-22","202505~202705","신규","-","","","연립다세대"
"8","부산광역시 남구 대연동","1479-12","1479","0012","대박그랜드빌","월세","16.9600","202504","30","300","30","5","2010","못골번영로60번길 6","202504~202604","신규","-","","","연립다세대"
"9","서울특별시 동대문구 장안동","393-4","0393","0004","진성홈타운","월세","44.5200","202504","30","5,720","22","5","2017","답십리로68길 92","202503~202706","갱신","-","100","55","연립다세대"
"10","서울특별시 중랑구 망우동","458-10","0458","0010","드림캐슬","월세","39.8700","202504","30","25,000","20","3","2019","봉우재로70길 19","202506~202706","신규","-","","","연립다세대"
