"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-01 ~ 2024-05-28"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 중구 을지로5가","39-1","0039","0001","삼성파크빌","97.3700","202405","28","67,700","5","개인","개인","2006","을지로 221","-","중개거래","서울 중구"
"2","경기도 고양시 일산동구 장항동","849","0849","0000","동양메이저타워","51.6900","202405","28","10,500","7","개인","개인","2002","중앙로 1227","-","중개거래","경기 고양시일산동구"
"3","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","40.2000","202405","28","20,000","11","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시중원구"
"4","서울특별시 마포구 신공덕동","1-48","0001","0048","갑을명가시티2","16.7600","202405","28","11,800","4","개인","개인","2016","만리재로 67","-","중개거래","서울 마포구"
"5","대구광역시 달서구 진천동","66-1","0066","0001","월배역 우인그레이스","84.7848","202405","28","28,000","14","개인","법인","2022","진천로18길 90","-","직거래","-"
"6","경기도 부천시 원미구 중동","1160-3","1160","0003","필레오트윈파크2동","23.9100","202405","28","7,900","15","개인","개인","2004"," 149","-","중개거래","경기 부천시원미구"
"7","서울특별시 강서구 마곡동","758-3","0758","0003","마곡헤리움2차","22.5100","202405","28","17,800","14","개인","개인","2016","마곡중앙5로1길 25","-","중개거래","서울 강서구"
"8","대전광역시 서구 둔산동","939","0939","0000","매그놀리아","36.9800","202405","28","9,000","6","개인","개인","2008","청사로 148","-","중개거래","대전 서구"
"9","서울특별시 구로구 구로동","567-4","0567","0004","구로에스케이뷰","70.6790","202405","28","52,000","11","개인","개인","2006","새말로 25","-","중개거래","서울 구로구"
"10","인천광역시 중구 내동","83-1","0083","0001","성신파크뷰","93.9400","202405","28","17,800","4","개인","법인","2003","개항로45번길 21-27","-","중개거래","인천 동구, 인천 중구"
"11","경상북도 김천시 율곡동","812","0812","0000","김천 코아루 파크드림 시티","28.6290","202405","28","5,900","17","개인","개인","2016","혁신1로 58","-","중개거래","경북 김천시"
"12","충청남도 천안시 동남구 신부동","451-2","0451","0002","천안 랜드마크타워","39.9500","202405","28","6,500","16","개인","개인","2006","만남로 14","-","중개거래","충남 천안시동남구"
"13","서울특별시 마포구 도화동","559","0559","0000","마포트라팰리스","73.7200","202405","28","86,000","31","법인","개인","2006","마포대로 53","-","중개거래","서울 마포구"
"14","서울특별시 강남구 역삼동","832-16","0832","0016","BIEL 106","28.8674","202405","28","38,900","9","개인","개인","2018","역삼로 106","-","중개거래","서울 강남구"
