"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-28"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","월세","29.2700","202504","28","500","35","13","2016","무민사로 13","202505~202605","신규","-","",""
"2","경기도 남양주시 다산동","6058","6058","0000","다산 헤리움 그랑비스타 2차","월세","20.3400","202504","28","500","55","3","2019","다산중앙로123번길 22-30","202505~202605","갱신","-","500","50"
"3","경기도 이천시 안흥동","475","0475","0000","양우내안애 클래스568","월세","25.4200","202504","28","500","55","14","2019"," ","202505~202605","신규","-","",""
"4","서울특별시 동작구 사당동","212-1","0212","0001","남성오피스텔","월세","15.1800","202504","28","1,000","40","3","2002","사당로 164","202504~202604","신규","-","",""
"5","경기도 부천시 원미구 중동","1080-1","1080","0001","리치타운 오피스텔","월세","63.8300","202504","28","1,000","120","6","2010"," 325","202504~202604","갱신","-","1,000","110"
"6","경기도 남양주시 다산동","6089-3","6089","0003","주건축물제1동","월세","22.0800","202504","28","500","65","11","2019","다산중앙로 109","202504~202604","신규","-","",""
"7","서울특별시 금천구 독산동","1009-34","1009","0034","금천신협빌딩","월세","28.8500","202504","28","4,000","53","9","2023","시흥대로 347","202504~202704","갱신","사용","4,000","50"
"8","인천광역시 연수구 송도동","8-20","0008","0020","송도 캐슬 센트럴파크","전세","27.1000","202504","28","16,200","0","19","2019","하모니로138번길 11","202506~202706","신규","-","",""
"9","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","전세","35.4300","202504","28","29,400","0","7","2018"," ","202506~202706","갱신","사용","28,000","0"
"10","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","전세","22.4400","202504","28","19,950","0","11","2017"," ","202505~202705","갱신","사용","19,000","0"
"11","전라남도 여수시 신기동","74-4","0074","0004","신기동 74-4 제1종근린생활시설 (김남협)","월세","51.2400","202504","28","1,000","50","3","2017","새터로 43","202504~202604","신규","-","",""
"12","인천광역시 미추홀구 주안동","928-8","0928","0008","해마루 더펠리체","월세","23.9800","202504","28","500","63","3","2015","주안로 182","202505~202605","신규","-","",""
"13","경기도 용인시 기흥구 중동","1042-3","1042","0003","초당역 오피스텔Ⅰ","월세","29.2200","202504","28","2,600","10","2","2022","동백중앙로 53-6","202407~202609","갱신","-","100","24"
"14","부산광역시 부산진구 부전동","477-8","0477","0008","블루펠리스","월세","23.3500","202504","28","1,000","64","9","2023","서면문화로5번길 36","202504~202604","신규","-","",""
"15","울산광역시 중구 우정동","529","0529","0000","타워더모스트 우정혁신도시","월세","22.5700","202504","28","500","55","9","2018","종가로 313","202506~202606","신규","-","",""
"16","인천광역시 연수구 송도동","171","0171","0000","더샵 송도트리플타워 West","전세","21.6900","202504","28","12,550","0","9","2020","송도과학로28번길 50","202505~202605","갱신","-","12,550","0"
"17","울산광역시 중구 우정동","529","0529","0000","타워더모스트 우정혁신도시","전세","21.5200","202504","28","9,000","0","7","2018","종가로 313","202506~202706","신규","-","",""
"18","울산광역시 중구 우정동","172","0172","0000","마제스타워 울산","월세","123.2500","202504","28","2,000","120","13","2009","학성로 1","202505~202705","신규","-","",""
"19","인천광역시 연수구 송도동","83","0083","0000","송도센트럴파크 푸르지오 시티","월세","30.0900","202504","28","1,000","80","25","2015"," ","202504~202604","신규","-","",""
"20","서울특별시 금천구 가산동","144-5","0144","0005","G밸리 노블루체 스위트","월세","29.7500","202504","28","4,500","100","8","2020","가산로9길 17","202505~202605","신규","-","",""
"21","서울특별시 서초구 서초동","1589-11","1589","0011","서초팰리스","월세","21.6200","202504","28","18,000","30","12","2021","반포대로14길 40","202506~202706","신규","-","",""
"22","서울특별시 동대문구 전농동","620-15","0620","0015","청량리역 우남SL타워300","월세","18.4300","202504","28","1,000","100","11","2023","왕산로 186","202505~202605","신규","-","",""
"23","서울특별시 동대문구 전농동","620-47","0620","0047","청량리역 롯데캐슬 Sky-L65","월세","24.0600","202504","28","1,000","120","42","2023","답십리로 27","202505~202605","신규","-","",""
"24","서울특별시 서초구 서초동","1699-2","1699","0002","엘루크 반포","전세","33.5100","202504","28","45,000","0","12","2023","서초대로51길 31","202506~202706","신규","-","",""
"25","서울특별시 서초구 서초동","1303-16","1303","0016","강남역 I'PARK","월세","29.6100","202504","28","1,000","115","13","2013","서초대로77길 62","202505~202605","신규","-","",""
"26","충청남도 천안시 동남구 신부동","966","0966","0000","(966)","월세","34.3200","202504","28","500","50","12","2007","만남로 9","202504~202604","신규","-","",""
"27","충청남도 천안시 동남구 신부동","966","0966","0000","(966)","월세","34.3200","202504","28","500","50","19","2007","만남로 9","202505~202605","신규","-","",""
"28","경상남도 창원시 진해구 풍호동","807-3","0807","0003","토원주택","월세","49.5000","202504","28","1,000","45","5","2003","천자로413번길 5","202504~202604","신규","-","",""
"29","인천광역시 연수구 송도동","316","0316","0000","힐스테이트 송도 더테라스","전세","84.0300","202504","28","25,000","0","24","2020"," ","202505~202705","신규","-","",""
"30","인천광역시 연수구 송도동","316","0316","0000","힐스테이트 송도 더테라스","월세","84.2800","202504","28","1,500","130","40","2020"," ","202505~202705","신규","-","",""
"31","부산광역시 부산진구 부암동","52-8","0052","0008","허브팰리스 더파크","전세","75.6700","202504","28","23,000","0","13","2024","시민공원로19번길 51","202506~202706","신규","-","",""
"32","경기도 부천시 원미구 중동","1034","1034","0000","솔라리움A동","월세","26.0200","202504","28","1,000","70","5","2020"," 205","202504~202601","신규","-","",""
"33","부산광역시 해운대구 좌동","1458-5","1458","0005","쥬노벨 오피스텔","월세","31.5600","202504","28","500","45","5","2007","해운대로781번길 20","202505~202605","신규","-","",""
"34","부산광역시 해운대구 좌동","1340-3","1340","0003","피렌체 오피스텔","전세","60.8800","202504","28","14,500","0","7","2012","좌동순환로402번길 8","202505~202705","신규","-","",""
"35","인천광역시 연수구 송도동","83","0083","0000","송도센트럴파크 푸르지오 시티","월세","25.7800","202504","28","500","65","20","2015"," ","202505~202605","신규","-","",""
"36","서울특별시 동대문구 용두동","104-3","0104","0003","동대문 푸르지오시티","전세","23.4700","202504","28","35,000","0","21",""," ","202504~202604","갱신","-","33,000","0"
"37","서울특별시 동대문구 용두동","236-1","0236","0001","신설동역대우아이빌","월세","27.6300","202504","28","4,000","45","5","2004","왕산로 52","202206~202706","갱신","-","4,000","40"
"38","서울특별시 동대문구 용두동","255-70","0255","0070","청계다우 아트리체 디벨","전세","19.9600","202504","28","19,000","0","8","2020","청계천로 503","202506~202706","신규","-","",""
"39","서울특별시 동대문구 용두동","255-70","0255","0070","청계다우 아트리체 디벨","월세","19.9600","202504","28","1,000","76","2","2020","청계천로 503","202507~202607","갱신","사용","1,000","73"
"40","경상남도 창원시 진해구 용원동","1347","1347","0000","다인로얄팰리스 부산 신항2차","월세","48.2200","202504","28","500","42","12","2020","신항2로 114","202504~202604","신규","-","",""
"41","경상남도 창원시 진해구 용원동","1347","1347","0000","다인로얄팰리스 부산 신항2차","월세","48.2200","202504","28","500","54","20","2020","신항2로 114","202505~202605","신규","-","",""
"42","부산광역시 해운대구 좌동","1461-3","1461","0003","블루스퀘어 A동","월세","24.4000","202504","28","300","30","8","2008","좌동로 96","202504~202604","신규","-","",""
"43","부산광역시 해운대구 좌동","1478-1","1478","0001","해운대 좌동 SK 허브 올리브","월세","24.2900","202504","28","300","38","5","2005","양운로 56","202505~202605","신규","-","",""
"44","인천광역시 부평구 부평동","146-18","0146","0018","원창아파트","전세","23.0800","202504","28","3,500","0","3","2003","장제로 119","202505~202705","신규","-","",""
"45","인천광역시 부평구 부평동","546-117","0546","0117","동아 그린","전세","60.1600","202504","28","11,970","0","2","2002","경원대로1367번길 42-6","202504~202704","갱신","-","12,300","0"
"46","인천광역시 부평구 부평동","704-10","0704","0010","대승오피스텔","월세","21.6800","202504","28","1,000","47","7","2002","동수북로158번길 25","202505~202605","신규","-","",""
"47","인천광역시 부평구 부평동","450-11","0450","0011","해송파크뷰2차","전세","54.6900","202504","28","15,000","0","3","2015","부평문화로142번길 18","202506~202706","신규","-","",""
"48","부산광역시 해운대구 우동","1508","1508","0000","센텀뷰라움","월세","28.2500","202504","28","500","60","25","2015","센텀2로 33","202505~202605","신규","-","",""
